"Prey","Category"
"Prochilodus costatus","Fish"
"Tetragonopterus chalceus","Fish"
"Acestrorhynchidae","Fish"
"Gymnotiformes","Fish"
"Decapoda","Invertebrate"
"Isopoda","Invertebrate"
"Anisoptera","Invertebrate"
"Odonata","Invertebrate"
"Roeboides xenodon","Fish"
"Conchostraca","Invertebrate"
"Chironomidae","Invertebrate"
"Coleoptera","Invertebrate"
"bone fragment","Fish"
"animal tissue","Other"
"Ostracoda","Invertebrate"
"Gastropoda","Invertebrate"
"Ceratopogonidae","Invertebrate"
"Corixidae","Invertebrate"
"Daphniidae","Invertebrate"
"Hydracarina","Invertebrate"
"filamentous algae","Algae"
"Dytiscidae","Invertebrate"
"plant material","Plant"
"Acaridae","Invertebrate"
"diptera pupae","Invertebrate"
"Coleoptera adult","Invertebrate"
"insect fragment","Invertebrate"
"calcified egg","Other"
"algae 1","Algae"
"algae 2","Algae"
"fruit","Plant"
"Diptera adult","Invertebrate"
"Dixidae","Invertebrate"
"diptera fragment","Invertebrate"
"Daphiniidae","Invertebrate"
"Bruchidae","Invertebrate"
"Dryopidae","Invertebrate"
"Formicidae","Invertebrate"
"Termitidae","Invertebrate"
"Diptera","Invertebrate"
"Hemiptera","Invertebrate"
"Cycloid scale","Fish"
"Penaeidae","Invertebrate"
"parasite egg","Invertebrate"
"Rotifera","Invertebrate"
"invertebrate egg","Invertebrate"
"Trichuris trichiura","Invertebrate"
"Ancylostoma duodenale","Invertebrate"
"fish","Fish"
"gastropod operculum","Invertebrate"
"Ctenoid scale","Fish"
"Resto de peixe","Fish"
"Astyanax bimaculatus","Fish"
"Atyidae","Invertebrate"
"Ciclopoida","Invertebrate"
"Ephemeroptera (Larva)","Invertebrate"
"Fragmento de Inseto","Invertebrate"
"Aeshnidae","Invertebrate"
"Libelullidae","Invertebrate"
"Zigoptera","Invertebrate"
"Coenagrionidae","Invertebrate"
"Chironomidae (Pupa)","Invertebrate"
"Chironomidae (Larva)","Invertebrate"
"Cordullidae","Invertebrate"
"Notonectidae","Invertebrate"
"Raiz","Plant"
"Folha","Plant"
"Semente","Plant"
"Material vegetal nao identificado","Plant"
"Sedimento","Other"
"Material digerido","Other"
"Material nao identificado","Other"
"Nematoda","Invertebrate"
"Calanoida","Invertebrate"
"Chydoridae","Invertebrate"
"Haparcticoida","Invertebrate"
"Bosminidae","Invertebrate"
"Anisoptera (Ninfa)","Invertebrate"
"Zigoptera (Ninfa)","Invertebrate"
"Coenagrionidae (Larva)","Invertebrate"
"Stratiomidae (Larva)","Invertebrate"
"Tricoptera (Larva)","Invertebrate"
"Dytiscidae (Larva)","Invertebrate"
"Bivalvia","Invertebrate"
"Bacillariophyta","Algae"
"Cyclotela","Algae"
"Synedra","Algae"
"Gyrosigma","Algae"
"Amphora","Algae"
"Cymbela","Algae"
"Gomphonema","Algae"
"Eunotia","Algae"
"Merismopedia","Algae"
"Microcystis","Algae"
"Oscillatoria","Algae"
"Pseudoanabaema","Algae"
"Planktothrix","Algae"
"Anabaena","Algae"
"Oedogomium","Algae"
"Pediastrum","Algae"
"Tetrastrum","Algae"
"Tetraedron","Algae"
"Monoraphidium","Algae"
"Scenedesmus","Algae"
"Phacus","Algae"
"Euglena","Algae"
"Hirudinea","Invertebrate"
"MATERIAL DIGERIDO","Other"
"CLADOCERA","Invertebrate"
"CHIRONOMIDAE","Invertebrate"
"NYLON","Other"
"egg","Invertebrate"
"PLANARIA","Invertebrate"
"OSTRACODA","Invertebrate"
"worm","Invertebrate"
"shell","Invertebrate"
"CENATAPOGONIDAE","Invertebrate"
"Eucinostomus argenteus","Fish"
"Eucinostomus gula","Fish"
"Eucinostomus melanopterus","Fish"
"Eucinostomus sp.","Fish"
"Anchoviella lepidentostole","Fish"
"Anchoviella sp.","Fish"
"Elops saurus","Fish"
"Penaeus brasiliensis","Invertebrate"
"Eurytium limosum","Invertebrate"
"Neritina virginea","Invertebrate"
"Lepidoptera","Invertebrate"
"restos de peixes e crustaceos","Other"
"Detrito","Detritus"
"Culicidae adulto","Invertebrate"
"Pupa de Diptera","Invertebrate"
"Larva de Diptera","Invertebrate"
"Restos de Insetos","Invertebrate"
"Aranha","Invertebrate"
"Melanoides tuberculata","Invertebrate"
"Restos de Moluscos","Invertebrate"
"Ovos","Invertebrate"
"Escamas","Fish"
"Sementes","Plant"
"Restos vegetais","Plant"
"Biomphalaria straminea","Invertebrate"
"Algas filamentosas","Algae"
"Cylindrospermopsis raciborskii","Algae"
"Microcystis sp.","Algae"
"Planktothrix agardhii","Algae"
"Astyanax spp.","Fish"
"Astyanax fasciatus","Fish"
"Perciformes","Fish"
"fish part","Fish"
"Macrobrachium shrimp","Invertebrate"
"Zygoptera","Invertebrate"
"Hexapoda part","Invertebrate"
"macrophyte","Plant"
"Leporinus sp.","Fish"
"Cichla sp.","Fish"
"Pygocentrus piraya","Fish"
"Cyphocharax gilbert","Fish"
"Oligochaeta","Invertebrate"
"Parauchenipterus galeatus","Fish"
"Crenicichla lepidota","Fish"
"Serrasalmus brandtii","Fish"
"Hoplias malabaricus","Fish"
"Pimelodus maculatus","Fish"
"Lophiosilurus alexandri","Fish"
"Plagioscion squamosissimus","Fish"
"Eigenmannia virescens","Fish"
"Synbranchus marmoratus","Fish"
"vertebra","Fish"
"raios","Fish"
"Tricoptera","Invertebrate"
"plant tissue","Plant"
"Acestrorhynchus spp.","Fish"
"Schizodon knerii","Fish"
"Metynnis spp.","Fish"
"Curimatela lepidura","Fish"
"Characiformes","Fish"
"Orthoptera","Invertebrate"
"rock","Other"
"Astyanax lacustris","Fish"
"fin","Fish"
"Chaoboridae","Invertebrate"
"Coleoptero","Invertebrate"
"Hemiptero","Invertebrate"
"Hymenoptera","Invertebrate"
"insect parts","Invertebrate"
"Simulideo","Invertebrate"
"Tricoptero","Invertebrate"
"Characiforme","Fish"
"Cichlid scale","Fish"
"fish parts","Fish"
"higher plant","Plant"
"algae","Algae"
"Orthoptero","Invertebrate"
"Plecoptero","Invertebrate"
"Quironomideo","Invertebrate"
"Astyanax sp.","Fish"
"Tetragonopterinae","Fish"
"mamal","Other"
"Ceratopogolidae","Invertebrate"
"Bivalve","Invertebrate"
"nematode","Invertebrate"
"vegetal material","Plant"
"mollusc","Invertebrate"
"Tricoptera larvae","Invertebrate"
"Diptera larvae","Invertebrate"
"Coleoptera larvae","Invertebrate"
"Odonata larvae","Invertebrate"
"Plecoptera larvae","Invertebrate"
"Diptera pupa","Invertebrate"
"Araneae","Invertebrate"
"fish egg","Fish"
"Mantodea","Invertebrate"
"Hemiptera larvae","Invertebrate"
"arthropoda fragment","Invertebrate"
"digested organic material","Detritus"
"fish fragment","Fish"
"Mollusca","Invertebrate"
"crustacean","Invertebrate"
"Isoptera","Invertebrate"
"animal fragment","Other"
"Hymenoptera pupa","Invertebrate"
"aquatic vegetal material","Plant"
"aquatic invertebrate","Invertebrate"
"aquatic insect","Invertebrate"
"terrestrial vegetal material","Plant"
"terrestrial invertebrate","Invertebrate"
"terrestrial insect","Invertebrate"
"unidentified items","Other"
"Chlorophyceae","Algae"
"Cyanophyceae","Algae"
"microplastic","Other"
"Protozoa/Microcrustacea","Invertebrate"
